5p,15p,25p,35p,45p,50p,55p,65p,75p,85p,95p
6923.206224,15020.136384,24904.127424000002,39050.5896,42307.011648,46715.095151999994,49861.2048,64528.341503999996,81631.17599999999,110422.71239999999,208269.8112
8599.954703999998,20738.7312,31108.096799999996,41962.83695999999,47037.20735999999,52067.4528,59639.295935999995,69818.924208,88249.92,118307.84275199998,153554.8608
8886.766943999999,18633.970608,29669.623104,37417.96608,45514.896239999995,48546.28099199999,55835.724383999994,67069.9392,82844.61239999998,113268.77231999999,179513.574768
8599.954703999998,17950.033728,28231.149408,39712.464,44566.209599999995,47037.20735999999,50973.153792,61995.5688,75453.68159999998,104099.60563199999,164444.900928
6923.206224,15884.985599999998,24784.990031999998,36226.59216,44976.571727999995,50831.95391999999,54053.075999999994,66628.68959999998,84552.24835199998,115122.02064,164586.1008
9116.216735999998,16604.222448,26474.976,39712.464,46600.370255999995,50973.153792,60848.31984,73909.30799999999,92229.99139199998,110149.137648,164444.900928
7205.605968,17244.034367999997,29669.623104,39888.96384,46715.095151999994,50973.153792,57583.0728,67069.9392,83378.52441599999,98848.73539199999,161497.3536
7412.99328,18633.970608,30931.596959999995,41808.3996,48537.456,51705.62812799999,60804.19487999999,67069.9392,82844.61239999998,115122.02064,164105.13873599996
7412.99328,19856.232,28637.09904,40021.33871999999,47888.819088,51004.041264,58853.87164799999,66187.44,81631.17599999999,118307.84275199998,164105.13873599996
7412.99328,15884.985599999998,29082.761135999997,41962.83695999999,48537.456,52994.07695999999,61774.943999999996,74134.345296,92229.99139199998,118307.84275199998,179513.574768
9729.553679999999,18633.970608,28637.09904,40153.713599999995,46715.095151999994,49861.2048,60526.20763199999,68040.68832,90456.16799999999,123991.1376,183573.071088
9164.754192,16767.4848,27004.47552,40594.9632,47037.20735999999,50973.153792,55835.724383999994,66628.68959999998,79791.16516799999,100088.64676799998,137731.65014399998
10700.3028,22062.48,29762.285519999998,39712.464,45889.958399999996,48537.456,50743.704,66187.44,80439.80208,113268.77231999999,161497.3536
7205.605968,17649.984,28637.09904,39712.464,46331.208,50743.704,55098.837552,66187.44,81189.9264,113935.05921599998,164586.1008
8895.591935999999,19856.232,30887.471999999998,39888.96384,48144.743855999994,49861.2048,55835.724383999994,69677.724336,86939.408688,115122.02064,184221.70799999998
8599.954703999998,18633.970608,28231.149408,39972.801263999994,48219.756288,51004.041264,55835.724383999994,74134.345296,92229.99139199998,118307.84275199998,183573.071088
7205.605968,16604.222448,30887.471999999998,40665.563136,48537.456,51705.62812799999,54053.075999999994,71994.284736,94427.4144,123991.1376,183573.071088
8886.766943999999,15567.285888,25658.66424,39972.801263999994,47888.819088,49216.980383999995,52994.07695999999,69818.924208,84552.24835199998,113268.77231999999,164586.1008
6923.206224,15531.985919999997,26474.976,36103.042272,44786.8344,48537.456,52067.4528,65349.06576,84552.24835199998,117601.84339199998,179513.574768
9116.216735999998,18205.958496,30865.409519999997,39972.801263999994,46331.208,51705.62812799999,60848.31984,67069.9392,82213.625472,104099.60563199999,164444.900928
6923.206224,15884.985599999998,27092.725439999995,40153.713599999995,48537.456,52949.952,61841.13143999999,71808.95990399999,92229.99139199998,118140.16790399999,157049.55763199998
8895.591935999999,19856.232,34086.531599999995,43366.010687999995,48546.28099199999,55835.724383999994,61704.344064,71808.95990399999,90456.16799999999,111194.89919999999,172087.34399999998
8895.591935999999,17649.984,28637.09904,36138.34224,44124.96,48537.456,51626.203199999996,66628.68959999998,79791.16516799999,113935.05921599998,164444.900928
8599.954703999998,17649.984,31769.971199999996,40665.563136,48219.756288,49186.092912,52949.952,66187.44,93544.91519999999,123549.88799999999,172087.34399999998
7412.99328,15020.136384,28231.149408,36103.042272,43723.42286399999,48537.456,51626.203199999996,66628.68959999998,80991.36408,108900.40127999998,161497.3536
9288.304079999998,21078.493392,30887.471999999998,40021.33871999999,48537.456,52949.952,60804.19487999999,74637.36983999998,86939.408688,118140.16790399999,174739.254096
